C6	AElig
21A2	larrtl
2AAB	lat
2919	latail
2AAD	late
290C	lbarr
2772	lbbrk
7B	lcub
5B	lsqb
298B	lbrke
298F	lbrksld
298D	lbrkslu
13E	lcaron
13C	lcedil
43B	lcy
2936	ldca
2967	ldrdhar
294B	ldrushar
21B2	ldsh
2264	le
21C7	llarr
22CB	lthree
2AA8	lescc
2A7F	lesdot
2A81	lesdoto
2A83	lesdotor
2A93	lesges
22D6	ltdot
297C	lfisht
1D529	lfr
2A91	lgE
296A	lharul
2584	lhblk
459	ljcy
296B	llhard
25FA	lltri
140	lmidot
23B0	lmoust
2268	lnE
2A89	lnap
2A87	lne
22E6	lnsim
27EC	loang
21FD	loarr
27FC	xmap
21AC	rarrlp
2985	lopar
1D55D	lopf
2A2D	loplus
2A34	lotimes
2217	lowast
25CA	loz
28	lpar
2993	lparlt
296D	lrhard
200E	lrm
22BF	lrtri
2039	lsaquo
1D4C1	lscr
2A8D	lsime
2A8F	lsimg
201A	sbquo
142	lstrok
2AA6	ltcc
2A79	ltcir
22C9	ltimes
2976	ltlarr
2A7B	ltquest
2996	ltrPar
25C3	ltri
294A	lurdshar
2966	luruhar
223A	mDDot
AF	macr
2642	male
2720	malt
25AE	marker
2A29	mcomma
43C	mcy
2014	mdash
1D52A	mfr
2127	mho
B5	micro
2AF0	midcir
2212	minus
2A2A	minusdu
2ADB	mlcp
22A7	models
1D55E	mopf
1D4C2	mscr
3BC	mu
22B8	mumap
21CD	nlArr
21CE	nhArr
21CF	nrArr
22AF	nVDash
22AE	nVdash
144	nacute
149	napos
266E	natur
2A43	ncap
148	ncaron
146	ncedil
2A42	ncup
43D	ncy
2013	ndash
21D7	neArr
2924	nearhk
2928	toea
1D52B	nfr
21AE	nharr
2AF2	nhpar
22FC	nis
22FA	nisd
45A	njcy
219A	nlarr
2025	nldr
1D55F	nopf
AC	not
22F7	notinvb
22F6	notinvc
22FE	notnivb
22FD	notnivc
2AFD	parsl
2A14	npolint
219B	nrarr
2933	rarrc
219D	rarrw
1D4C3	nscr
2284	nsub
2AC5	subE
2285	nsup
2AC6	supE
F1	ntilde
3BD	nu
23	num
2116	numero
2007	numsp
22AD	nvDash
2904	nvHarr
22AC	nvdash
29DE	nvinfin
2902	nvlArr
2903	nvrArr
21D6	nwArr
2923	nwarhk
2927	nwnear
F3	oacute
F4	ocirc
43E	ocy
151	odblac
2A38	odiv
29BC	odsold
153	oelig
29BF	ofcir
1D52C	ofr
2DB	ogon
F2	ograve
29C1	ogt
29B5	ohbar
29BE	olcir
29BB	olcross
29C0	olt
14D	omacr
3C9	omega
3BF	omicron
29B6	omid
1D560	oopf
29B7	opar
29B9	operp
2228	or
2A5D	ord
2134	oscr
AA	ordf
BA	ordm
22B6	origof
2A56	oror
2A57	orslope
2A5B	orv
F8	oslash
2298	osol
F5	otilde
2A36	otimesas
F6	ouml
233D	ovbar
B6	para
2AF3	parsim
43F	pcy
25	percnt
2E	period
2030	permil
2031	pertenk
1D52D	pfr
3C6	phi
3D5	phiv
260E	phone
3C0	pi
3D6	piv
210E	planckh
2B	plus
2A23	plusacir
2A22	pluscir
2A25	plusdu
2A72	pluse
2A26	plussim
2A27	plustwo
2A15	pointint
1D561	popf
A3	pound
2AB3	prE
2AB7	prap
2AB9	prnap
2AB5	prnE
22E8	prnsim
2032	prime
232E	profalar
2312	profline
2313	profsurf
22B0	prurel
1D4C5	pscr
3C8	psi
2008	puncsp
1D52E	qfr
1D562	qopf
2057	qprime
1D4C6	qscr
2A16	quatint
3F	quest
291C	rAtail
2964	rHar
155	racute
29B3	raemptyv
2992	rangd
29A5	range
BB	raquo
2975	rarrap
2920	rarrbfs
291E	rarrfs
2945	rarrpl
2974	rarrsim
21A3	rarrtl
291A	ratail
2236	ratio
2773	rbbrk
7D	rcub
5D	rsqb
298C	rbrke
298E	rbrksld
2990	rbrkslu
159	rcaron
157	rcedil
440	rcy
2937	rdca
2969	rdldhar
21B3	rdsh
25AD	rect
297D	rfisht
1D52F	rfr
296C	rharul
3C1	rho
3F1	rhov
21C9	rrarr
22CC	rthree
2DA	ring
200F	rlm
23B1	rmoust
2AEE	rnmid
27ED	roang
21FE	roarr
2986	ropar
1D563	ropf
2A2E	roplus
2A35	rotimes
29	rpar
2994	rpargt
2A12	rppolint
203A	rsaquo
1D4C7	rscr
22CA	rtimes
25B9	rtri
29CE	rtriltri
2968	ruluhar
211E	rx
15B	sacute
2AB4	scE
2AB8	scap
161	scaron
15F	scedil
15D	scirc
2AB6	scnE
2ABA	scnap
22E9	scnsim
2A13	scpolint
441	scy
